Country,Year,US_Drone_Strikes,Minimum_people_killed,Maximum_people_killed,Minimum_civilians_killed,Maximum_civilians_killed,Minimum_children_killed,Maximum_children_killed,Minimum_people_injured,Maximum_people_injured,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,  2004,1,6,8,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,  2005,3,16,16,5,11,4,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,  2006,2,94,105,90,100,73,76,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,  2007,5,36,56,11,46,1,1,20,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,  2008,38,252,401,59,173,26,45,146,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,  2009,54,471,753,100,210,36,39,266,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,  2010,128,755,"1,108",89,197,23,23,351,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,  2011,75,362,666,52,152,6,11,158,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,  2012,50,212,410,13,63,1,2,100,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,  2013,27,109,195,0,4,0,1,43,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,  2014,25,115,186,0,2,0,2,44,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,  2015,13,60,85,2,5,0,0,25,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,  2016,3,11,12,1,1,0,0,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,  2017,5,15,22,0,3,0,0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,  2018,1,1,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2015,236,982,1434,60,77,3,16,142,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2016,1071,1388,1601,64,105,21,25,196,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2017,2611,876,1437,26,130,12,35,162,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2018,1069,759,963,0,55,0,25,49,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,