Date,country,Maximum total people killed,Maximum civilians reported killed
2015-01-03,Afghanistan,18,0
2015-01-03,Afghanistan,7,0
2015-01-06,Afghanistan,0,0
2015-01-07,Afghanistan,3,0
2015-01-08,Afghanistan,6,0
2015-01-11,Afghanistan,8,0
2015-01-16,Afghanistan,3,0
2015-01-17,Afghanistan,0,0
2015-01-19,Afghanistan,0,0
2015-02-08,Afghanistan,8,0
2015-02-10,Afghanistan,2,0
2015-02-11,Afghanistan,9,0
2015-02-18,Afghanistan,8,0
2015-03-02,Afghanistan,1,1
2015-03-10,Afghanistan,6,0
2015-03-11,Afghanistan,0,0
2015-03-13,Afghanistan,0,0
2015-03-18,Afghanistan,0,0
2015-03-23,Afghanistan,13,0
2015-03-24,Afghanistan,11,0
2015-03-25,Afghanistan,0,0
2015-03-26,Afghanistan,0,0
2015-04-12,Afghanistan,3,0
2015-04-28,Afghanistan,3,0
2015-05-03,Afghanistan,12,0
2015-05-04,Afghanistan,17,0
2015-05-07,Afghanistan,7,1
2015-05-07,Afghanistan,4,0
2015-05-09,Afghanistan,13,0
2015-05-14,Afghanistan,4,0
2015-05-15,Afghanistan,41,0
2015-05-21,Afghanistan,5,0
2015-05-27,Afghanistan,5,0
2015-05-28,Afghanistan,1,0
2015-05-31,Afghanistan,3,3
2015-06-03,Afghanistan,6,0
2015-06-04,Afghanistan,1,0
2015-06-04,Afghanistan,6,1
2015-06-04,Afghanistan,11,0
2015-06-05,Afghanistan,14,14
2015-06-07,Afghanistan,1,0
2015-06-08,Afghanistan,7,5
2015-06-08,Afghanistan,3,0
2015-06-11,Afghanistan,30,0
2015-06-11,Afghanistan,2,0
2015-06-14,Afghanistan,15,5
2015-06-15,Afghanistan,2,2
2015-06-18,Afghanistan,0,0
2015-06-19,Afghanistan,8,0
2015-06-19,Afghanistan,7,0
2015-06-20,Afghanistan,9,0
2015-06-21,Afghanistan,7,0
2015-06-26,Afghanistan,6,0
2015-06-27,Afghanistan,1,0
2015-06-27,Afghanistan,5,0
2015-06-30,Afghanistan,14,0
2015-07-04,Afghanistan,12,0
2015-07-04,Afghanistan,1,0
2015-07-04,Afghanistan,0,0
2015-07-05,Afghanistan,3,0
2015-07-06,Afghanistan,12,0
2015-07-06,Afghanistan,37,0
2015-07-07,Afghanistan,49,0
2015-07-07,Afghanistan,18,0
2015-07-07,Afghanistan,25,0
2015-07-07,Afghanistan,4,0
2015-07-08,Afghanistan,52,0
2015-07-10,Afghanistan,31,0
2015-07-11,Afghanistan,3,0
2015-07-12,Afghanistan,12,0
2015-07-14,Afghanistan,28,0
2015-07-16,Afghanistan,16,0
2015-07-16,Afghanistan,6,0
2015-07-20,Afghanistan,10,0
2015-07-26,Afghanistan,6,0
2015-07-29,Afghanistan,20,0
2015-08-02,Afghanistan,4,0
2015-08-04,Afghanistan,66,0
2015-08-08,Afghanistan,10,0
2015-08-09,Afghanistan,6,0
2015-08-10,Afghanistan,3,0
2015-08-17,Afghanistan,5,0
2015-08-17,Afghanistan,3,0
2015-08-23,Afghanistan,40,0
2015-08-26,Afghanistan,4,0
2015-08-27,Afghanistan,0,0
2015-08-30,Afghanistan,0,0
2015-08-31,Afghanistan,2,2
2015-09-01,Afghanistan,0,0
2015-09-06,Afghanistan,31,0
2015-09-06,Afghanistan,0,0
2015-09-08,Afghanistan,2,0
2015-09-10,Afghanistan,15,0
2015-09-13,Afghanistan,5,0
2015-09-17,Afghanistan,5,0
2015-09-29,Afghanistan,0,0
2015-09-29,Afghanistan,0,0
2015-09-30,Afghanistan,24,0
2015-09-30,Afghanistan,0,0
2015-09-30,Afghanistan,0,0
2015-09-30,Afghanistan,3,0
2015-10-02,Afghanistan,0,0
2015-10-02,Afghanistan,0,0
2015-10-03,Afghanistan,42,42
2015-10-05,Afghanistan,0,0
2015-10-11,Afghanistan,200,0
2015-10-13,Afghanistan,6,0
2015-10-19,Afghanistan,20,0
2015-10-23,Afghanistan,6,0
2015-10-23,Afghanistan,10,0
2015-10-23,Afghanistan,3,0
2015-10-23,Afghanistan,10,0
2015-10-27,Afghanistan,12,1
2015-10-29,Afghanistan,4,0
2015-10-29,Afghanistan,3,0
2015-10-29,Afghanistan,4,0
2015-10-31,Afghanistan,2,0
2015-11-04,Afghanistan,29,0
2015-11-08,Afghanistan,3,0
2015-11-14,Afghanistan,13,0
2015-11-17,Afghanistan,8,0
2015-11-18,Afghanistan,50,0
2015-11-24,Afghanistan,2,0
2015-11-24,Afghanistan,8,0
2015-11-25,Afghanistan,16,0
2015-12-03,Afghanistan,3,0
2015-12-08,Afghanistan,11,0
2015-12-13,Afghanistan,0,0
2015-12-15,Afghanistan,9,0
2015-12-19,Afghanistan,3,0
2015-12-22,Afghanistan,3,0
2015-12-23,Afghanistan,0,0
2015-12-23,Afghanistan,3,0
2015-12-29,Afghanistan,2,0
2016-01-02,Afghanistan,5,0
2016-01-06,Afghanistan,0,0
2016-01-08,Afghanistan,20,0
2016-01-08,Afghanistan,0,0
2016-01-08,Afghanistan,0,0
2016-01-09,Afghanistan,20,0
2016-01-09,Afghanistan,10,1
2016-01-10,Afghanistan,0,0
2016-01-10,Afghanistan,0,0
2016-01-14,Afghanistan,12,0
2016-01-16,Afghanistan,17,0
2016-01-16,Afghanistan,22,0
2016-01-19,Afghanistan,5,0
2016-01-19,Afghanistan,5,0
2016-01-22,Afghanistan,3,0
2016-01-22,Afghanistan,2,0
2016-01-22,Afghanistan,3,0
2016-01-22,Afghanistan,10,0
2016-01-23,Afghanistan,3,0
2016-01-23,Afghanistan,6,0
2016-01-24,Afghanistan,13,0
2016-01-24,Afghanistan,4,0
2016-01-25,Afghanistan,5,0
2016-02-01,Afghanistan,29,0
2016-02-01,Afghanistan,19,0
2016-02-02,Afghanistan,4,0
2016-02-04,Afghanistan,15,0
2016-02-04,Afghanistan,3,0
2016-02-05,Afghanistan,16,0
2016-02-08,Afghanistan,11,0
2016-02-08,Afghanistan,15,0
2016-02-11,Afghanistan,18,0
2016-02-15,Afghanistan,15,0
2016-02-17,Afghanistan,6,0
2016-02-18,Afghanistan,6,0
2016-02-22,Afghanistan,25,0
2016-02-22,Afghanistan,0,0
2016-02-26,Afghanistan,3,0
2016-02-28,Afghanistan,9,0
2016-03-05,Afghanistan,15,0
2016-03-21,Afghanistan,8,0
2016-03-22,Afghanistan,8,0
2016-03-22,Afghanistan,5,0
2016-03-26,Afghanistan,11,0
2016-04-05,Afghanistan,6,0
2016-04-07,Afghanistan,4,0
2016-04-07,Afghanistan,3,0
2016-04-07,Afghanistan,21,21
2016-04-14,Afghanistan,0,0
2016-04-19,Afghanistan,5,0
2016-04-20,Afghanistan,4,0
2016-04-28,Afghanistan,15,0
2016-04-30,Afghanistan,38,0
2016-05-07,Afghanistan,1,0
2016-05-09,Afghanistan,12,0
2016-05-12,Afghanistan,1,0
2016-05-16,Afghanistan,3,0
2016-05-17,Afghanistan,5,0
2016-05-18,Afghanistan,1,0
2016-05-22,Afghanistan,13,0
2016-05-22,Afghanistan,9,0
2016-05-26,Afghanistan,6,0
2016-05-26,Afghanistan,4,0
2016-05-26,Afghanistan,2,0
2016-05-26,Afghanistan,7,0
2016-05-29,Afghanistan,6,0
2016-05-29,Afghanistan,22,0
2016-05-29,Afghanistan,2,0
2016-05-29,Afghanistan,2,0
2016-06-02,Afghanistan,10,0
2016-06-08,Afghanistan,2,0
2016-06-11,Afghanistan,6,0
2016-06-11,Afghanistan,11,3
2016-06-11,Afghanistan,6,0
2016-06-14,Afghanistan,10,0
2016-06-15,Afghanistan,21,0
2016-06-18,Afghanistan,8,0
2016-06-18,Afghanistan,27,0
2016-06-21,Afghanistan,5,0
2016-06-22,Afghanistan,4,0
2016-06-23,Afghanistan,7,0
2016-06-24,Afghanistan,0,0
2016-06-25,Afghanistan,16,15
2016-06-26,Afghanistan,30,0
2016-06-27,Afghanistan,16,0
2016-06-28,Afghanistan,14,0
2016-06-29,Afghanistan,10,0
2016-06-29,Afghanistan,10,0
2016-07-03,Afghanistan,12,0
2016-07-03,Afghanistan,19,0
2016-07-03,Afghanistan,11,0
2016-07-05,Afghanistan,12,0
2016-07-08,Afghanistan,16,0
2016-07-09,Afghanistan,8,0
2016-07-09,Afghanistan,0,0
2016-07-11,Afghanistan,4,0
2016-07-13,Afghanistan,12,0
2016-07-13,Afghanistan,26,0
2016-07-14,Afghanistan,12,0
2016-07-14,Afghanistan,4,0
2016-07-15,Afghanistan,30,0
2016-07-16,Afghanistan,15,0
2016-07-16,Afghanistan,6,0
2016-07-19,Afghanistan,0,0
2016-07-19,Afghanistan,5,0
2016-07-20,Afghanistan,15,0
2016-07-23,Afghanistan,8,0
2016-07-23,Afghanistan,0,0
2016-07-26,Afghanistan,1,0
2016-07-27,Afghanistan,6,0
2016-07-27,Afghanistan,2,0
2016-07-31,Afghanistan,0,0
2016-08-01,Afghanistan,2,0
2016-08-11,Afghanistan,0,0
2016-08-12,Afghanistan,25,5
2016-08-13,Afghanistan,2,0
2016-08-22,Afghanistan,4,0
2016-08-24,Afghanistan,0,0
2016-08-25,Afghanistan,32,8
2016-08-29,Afghanistan,120,0
2016-08-30,Afghanistan,6,0
2016-08-31,Afghanistan,17,0
2016-08-31,Afghanistan,0,0
2016-09-02,Afghanistan,7,0
2016-09-09,Afghanistan,0,0
2016-09-10,Afghanistan,4,0
2016-09-17,Afghanistan,0,0
2016-09-18,Afghanistan,8,0
2016-09-22,Afghanistan,7,0
2016-09-22,Afghanistan,5,0
2016-09-22,Afghanistan,18,0
2016-09-24,Afghanistan,0,0
2016-09-25,Afghanistan,0,0
2016-09-28,Afghanistan,21,15
2016-09-30,Afghanistan,0,0
2016-10-03,Afghanistan,0,0
2016-10-03,Afghanistan,12,0
2016-10-04,Afghanistan,13,0
2016-10-08,Afghanistan,0,0
2016-10-17,Afghanistan,70,0
2016-10-19,Afghanistan,8,0
2016-10-22,Afghanistan,5,0
2016-10-23,Afghanistan,3,0
2016-10-28,Afghanistan,4,4
2016-10-28,Afghanistan,5,0
2016-10-30,Afghanistan,11,0
2016-10-31,Afghanistan,9,0
2016-10-31,Afghanistan,0,0
2016-11-03,Afghanistan,59,33
2016-11-04,Afghanistan,5,0
2016-11-09,Afghanistan,14,0
2016-11-11,Afghanistan,14,0
2016-11-12,Afghanistan,13,0
2016-11-18,Afghanistan,7,0
2016-11-19,Afghanistan,1,0
2016-11-20,Afghanistan,2,0
2016-11-27,Afghanistan,7,0
2016-12-11,Afghanistan,7,0
2016-12-15,Afghanistan,6,0
2016-12-15,Afghanistan,2,0
2016-12-24,Afghanistan,1,0
2016-12-24,Afghanistan,2,0
2016-12-27,Afghanistan,3,0
2016-12-28,Afghanistan,2,0
2016-12-28,Afghanistan,3,0
2016-12-31,Afghanistan,0,0
2017-01-10,Afghanistan,4,0
2017-01-15,Afghanistan,15,0
2017-01-20,Afghanistan,6,0
2017-01-27,Afghanistan,7,0
2017-01-28,Afghanistan,7,0
2017-01-31,Afghanistan,0,0
2017-01-31,Afghanistan,0,0
2017-02-01,Afghanistan,12,0
2017-02-02,Afghanistan,6,0
2017-02-03,Afghanistan,21,0
2017-02-06,Afghanistan,6,0
2017-02-06,Afghanistan,2,0
2017-02-08,Afghanistan,11,0
2017-02-10,Afghanistan,68,26
2017-02-11,Afghanistan,0,0
2017-02-19,Afghanistan,1,0
2017-02-20,Afghanistan,12,0
2017-02-23,Afghanistan,11,0
2017-02-26,Afghanistan,9,0
2017-02-27,Afghanistan,2,0
2017-02-28,Afghanistan,0,0
2017-03-01,Afghanistan,6,0
2017-03-09,Afghanistan,20,0
2017-03-13,Afghanistan,3,0
2017-03-18,Afghanistan,0,0
2017-03-18,Afghanistan,2,0
2017-03-19,Afghanistan,0,0
2017-03-19,Afghanistan,4,0
2017-03-31,Afghanistan,0,0
2017-04-04,Afghanistan,3,3
2017-04-09,Afghanistan,6,0
2017-04-13,Afghanistan,100,0
2017-04-15,Afghanistan,2,0
2017-04-17,Afghanistan,16,0
2017-04-25,Afghanistan,2,0
2017-04-26,Afghanistan,36,0
2017-04-27,Afghanistan,1,0
2017-04-30,Afghanistan,0,0
2017-04-30,Afghanistan,7,0
2017-05-05,Afghanistan,8,0
2017-05-06,Afghanistan,6,0
2017-05-08,Afghanistan,50,0
2017-05-18,Afghanistan,14,0
2017-05-18,Afghanistan,9,0
2017-05-26,Afghanistan,13,0
2017-05-29,Afghanistan,4,0
2017-05-30,Afghanistan,7,0
2017-05-31,Afghanistan,25,0
2017-05-31,Afghanistan,0,0
2017-06-03,Afghanistan,1,0
2017-06-08,Afghanistan,10,0
2017-06-09,Afghanistan,10,0
2017-06-22,Afghanistan,0,0
2017-06-29,Afghanistan,3,0
2017-06-29,Afghanistan,4,0
2017-06-30,Afghanistan,0,0
2017-07-01,Afghanistan,11,0
2017-07-01,Afghanistan,4,0
2017-07-02,Afghanistan,42,0
2017-07-02,Afghanistan,15,0
2017-07-07,Afghanistan,14,0
2017-07-08,Afghanistan,7,0
2017-07-08,Afghanistan,16,1
2017-07-09,Afghanistan,2,0
2017-07-11,Afghanistan,5,0
2017-07-11,Afghanistan,11,0
2017-07-14,Afghanistan,8,0
2017-07-15,Afghanistan,38,0
2017-07-20,Afghanistan,4,0
2017-07-20,Afghanistan,0,0
2017-07-21,Afghanistan,16,0
2017-07-21,Afghanistan,0,0
2017-07-23,Afghanistan,33,8
2017-07-31,Afghanistan,7,0
2017-07-31,Afghanistan,0,0
2017-08-04,Afghanistan,50,0
2017-08-05,Afghanistan,3,0
2017-08-07,Afghanistan,7,0
2017-08-09,Afghanistan,8,0
2017-08-10,Afghanistan,21,16
2017-08-10,Afghanistan,4,0
2017-08-11,Afghanistan,9,0
2017-08-12,Afghanistan,5,0
2017-08-16,Afghanistan,54,0
2017-08-21,Afghanistan,6,0
2017-08-24,Afghanistan,42,0
2017-08-28,Afghanistan,14,0
2017-08-30,Afghanistan,13,13
2017-08-31,Afghanistan,0,0
2017-09-04,Afghanistan,2,2
2017-09-04,Afghanistan,12,0
2017-09-05,Afghanistan,6,0
2017-09-09,Afghanistan,1,0
2017-09-18,Afghanistan,15,0
2017-09-20,Afghanistan,11,0
2017-09-21,Afghanistan,7,0
2017-09-24,Afghanistan,5,0
2017-09-27,Afghanistan,4,0
2017-09-27,Afghanistan,5,0
2017-09-29,Afghanistan,15,0
2017-09-30,Afghanistan,0,0
2017-10-10,Afghanistan,8,0
2017-10-10,Afghanistan,2,0
2017-10-11,Afghanistan,4,0
2017-10-11,Afghanistan,11,0
2017-10-11,Afghanistan,4,0
2017-10-12,Afghanistan,20,0
2017-10-16,Afghanistan,0,0
2017-10-19,Afghanistan,0,0
2017-10-20,Afghanistan,10,0
2017-11-04,Afghanistan,80,55
2017-11-04,Afghanistan,15,0
2017-11-05,Afghanistan,4,0
2017-11-05,Afghanistan,4,0
2017-11-13,Afghanistan,4,0
2017-11-14,Afghanistan,6,6
2017-11-19,Afghanistan,0,0
2017-11-21,Afghanistan,44,0
2017-11-27,Afghanistan,7,0
2017-11-28,Afghanistan,7,0
2017-11-29,Afghanistan,8,0
2017-12-01,Afghanistan,4,0
2017-12-01,Afghanistan,5,0
2017-12-02,Afghanistan,8,0
2017-12-03,Afghanistan,8,0
2017-12-04,Afghanistan,6,0
2017-12-05,Afghanistan,25,0
2017-12-07,Afghanistan,0,0
2017-12-08,Afghanistan,0,0
2017-12-09,Afghanistan,8,0
2017-12-28,Afghanistan,8,0
2017-12-30,Afghanistan,3,0
2018-01-11,Afghanistan,13,0
2018-01-14,Afghanistan,3,0
2018-01-20,Afghanistan,14,0
2018-01-20,Afghanistan,50,0
2018-01-27,Afghanistan,1,0
2018-01-30,Afghanistan,26,0
2018-02-02,Afghanistan,0,0
2018-02-04,Afghanistan,0,0
2018-02-04,Afghanistan,0,0
2018-02-16,Afghanistan,7,0
2018-02-22,Afghanistan,1,0
2018-03-07,Afghanistan,21,1
2018-03-08,Afghanistan,0,0
2018-03-09,Afghanistan,0,0
2018-03-11,Afghanistan,25,0
2018-03-16,Afghanistan,37,0
2018-03-16,Afghanistan,2,0
2018-03-17,Afghanistan,13,0
2018-03-22,Afghanistan,8,0
2018-03-23,Afghanistan,1,0
2018-03-28,Afghanistan,6,0
2018-04-01,Afghanistan,0,0
2018-04-03,Afghanistan,0,0
2018-04-05,Afghanistan,2,0
2018-04-12,Afghanistan,7,0
2018-04-12,Afghanistan,0,0
2018-04-20,Afghanistan,0,0
2018-04-21,Afghanistan,0,0
2018-04-23,Afghanistan,2,0
2018-05-09,Afghanistan,6,0
2018-05-09,Afghanistan,35,0
2018-05-15,Afghanistan,28,0
2018-05-24,Afghanistan,50,0
2018-05-24,Afghanistan,0,0
2018-05-24,Afghanistan,0,0
2018-05-24,Afghanistan,2,0
2018-05-25,Afghanistan,1,0
2018-05-26,Afghanistan,1,0
2018-05-27,Afghanistan,6,0
2018-05-28,Afghanistan,11,0
2018-05-28,Afghanistan,10,0
2018-06-04,Afghanistan,13,0
2018-06-13,Afghanistan,5,0
2018-06-27,Afghanistan,0,0
2018-06-30,Afghanistan,0,0
2018-07-01,Afghanistan,2,0
2018-07-03,Afghanistan,1,0
2018-07-12,Afghanistan,37,11
2018-07-15,Afghanistan,12,0
2018-07-19,Afghanistan,0,14
2018-07-22,Afghanistan,2,0
2018-08-07,Afghanistan,14,0
2018-08-10,Afghanistan,0,0
2018-08-13,Afghanistan,220,0
2018-08-16,Afghanistan,27,0
2018-08-16,Afghanistan,1,0
2018-08-25,Afghanistan,11,0
2018-08-31,Afghanistan,4,0
2018-09-01,Afghanistan,0,0
2018-09-01,Afghanistan,0,0
2018-09-02,Afghanistan,0,0
2018-09-02,Afghanistan,0,0
2018-09-02,Afghanistan,0,0
2018-09-02,Afghanistan,0,0
2018-09-03,Afghanistan,0,0
2018-09-03,Afghanistan,0,0
2018-09-03,Afghanistan,0,0
2018-09-03,Afghanistan,0,0
2018-09-03,Afghanistan,0,0
2018-09-04,Afghanistan,0,0
2018-09-04,Afghanistan,0,0
2018-09-04,Afghanistan,0,0
2018-09-04,Afghanistan,0,0
2018-09-04,Afghanistan,0,0
2018-09-04,Afghanistan,0,0
2018-09-04,Afghanistan,0,0
2018-09-05,Afghanistan,0,0
2018-09-05,Afghanistan,0,0
2018-09-05,Afghanistan,0,0
2018-09-05,Afghanistan,0,0
2018-09-05,Afghanistan,0,0
2018-09-05,Afghanistan,0,0
2018-09-06,Afghanistan,0,0
