Year,US_Drone_Strikes,Minimum_people_killed,Maximum_people_killed,Minimum_civilians_killed,Maximum_civilians_killed,Minimum_children_killed,Maximum_children_killed,Minimum_people_injured,Maximum_people_injured
  2004,1,6,8,2,2,2,2,1,1
  2005,3,16,16,5,11,4,5,1,1
  2006,2,94,105,90,100,73,76,3,3
  2007,5,36,56,11,46,1,1,20,37
  2008,38,252,401,59,173,26,45,146,228
  2009,54,471,753,100,210,36,39,266,404
  2010,128,755,"1,108",89,197,23,23,351,428
  2011,75,362,666,52,152,6,11,158,236
  2012,50,212,410,13,63,1,2,100,212
  2013,27,109,195,0,4,0,1,43,89
  2014,25,115,186,0,2,0,2,44,67
  2015,13,60,85,2,5,0,0,25,32
  2016,3,11,12,1,1,0,0,3,6
  2017,5,15,22,0,3,0,0,1,5
  2018,1,1,3,0,0,0,0,0,0